ts_utc,run_type,H1,H2,H3,H4,note
2026-07-08T00:00:00Z,bootstrap,success,none,not-run,not-run,company OS scaffolded
20260709T043248Z,probe,success,none,pass,not-run,critical-path probe
20260709T131900Z,probe,success,none,pass,not-run,critical-path probe
20260709T132224Z,probe,success,none,pass,not-run,critical-path probe (daily-ops run; node headless helper)
20260709T132237Z,probe,success,none,pass,not-run,critical-path probe
20260709T162041Z,probe,success,none,pass,not-run,critical-path probe
20260709T192040Z,probe,success,none,pass,not-run,critical-path probe
20260709T192239Z,probe,success,none,pass,not-run,critical-path probe
20260709T222040Z,probe,success,none,pass,not-run,critical-path probe
20260710T012042Z,probe,success,none,pass,not-run,critical-path probe
20260710T012239Z,probe,success,none,pass,not-run,critical-path probe
20260710T042040Z,probe,success,none,pass,not-run,critical-path probe
20260710T072041Z,probe,success,none,pass,not-run,critical-path probe
20260710T072238Z,probe,success,none,pass,not-run,critical-path probe
20260710T100005Z,probe,success,none,pass,not-run,critical-path probe
20260710T102039Z,probe,success,none,pass,not-run,critical-path probe
20260710T114438Z,probe,success,none,pass,not-run,critical-path probe
20260710T132040Z,probe,success,none,pass,not-run,critical-path probe
20260710T132238Z,probe,success,none,pass,not-run,critical-path probe
20260710T162039Z,probe,success,none,pass,not-run,critical-path probe
20260710T192039Z,probe,success,none,pass,not-run,critical-path probe
20260710T192238Z,probe,success,none,pass,not-run,critical-path probe
20260710T222039Z,probe,success,none,pass,not-run,critical-path probe
20260711T012039Z,probe,success,none,pass,not-run,critical-path probe
20260711T012237Z,probe,success,none,pass,not-run,critical-path probe
20260711T042039Z,probe,success,none,pass,not-run,critical-path probe
20260711T072041Z,probe,success,none,pass,not-run,critical-path probe
20260711T072238Z,probe,success,none,pass,not-run,critical-path probe
20260711T102038Z,probe,success,none,pass,not-run,critical-path probe
20260711T132039Z,probe,success,none,pass,not-run,critical-path probe
20260711T132257Z,probe,success,none,pass,not-run,critical-path probe
20260711T162039Z,probe,success,none,pass,not-run,critical-path probe
20260711T192039Z,probe,success,none,pass,not-run,critical-path probe
20260711T192238Z,probe,success,none,pass,not-run,critical-path probe
20260712T033650Z,probe,success,none,pass,not-run,"critical-path probe (site-check-20260712T011740Z.json)"
20260712T104228Z,probe,success,none,pass,not-run,"critical-path probe (site-check-20260712T101501Z.json)"
20260712T153131Z,probe,success,none,pass,not-run,"critical-path probe (site-check-20260712T123421Z.json)"
20260712T183115Z,probe,success,none,pass,not-run,"critical-path probe (site-check-20260712T161501Z.json)"
20260712T213138Z,probe,success,none,pass,not-run,"critical-path probe (site-check-20260712T213127Z.json)"
20260713T003004Z,probe,success,none,pass,not-run,"critical-path probe (site-check-20260713T003001Z.json)"
20260713T033005Z,probe,success,none,pass,not-run,"critical-path probe (site-check-20260713T033002Z.json)"
20260713T103004Z,probe,success,none,pass,not-run,"critical-path probe (site-check-20260713T103002Z.json)"
20260713T103141Z,research,success,none,pass,not-run,"critical-path probe (site-check-20260713T103002Z.json)"
20260713T123005Z,probe,success,none,pass,not-run,"critical-path probe (site-check-20260713T123002Z.json)"
20260713T133004Z,probe,success,none,pass,not-run,"critical-path probe (site-check-20260713T133001Z.json)"
20260713T153005Z,probe,success,none,pass,not-run,"critical-path probe (site-check-20260713T153001Z.json)"
20260713T183004Z,probe,success,none,pass,not-run,"critical-path probe (site-check-20260713T183002Z.json)"
20260713T213005Z,probe,success,none,pass,not-run,"critical-path probe (site-check-20260713T213002Z.json)"
20260714T003005Z,probe,success,none,pass,not-run,"critical-path probe (site-check-20260714T003002Z.json)"
20260714T033005Z,probe,success,none,pass,not-run,"critical-path probe (site-check-20260714T033002Z.json)"
20260714T103004Z,probe,success,none,pass,not-run,"critical-path probe (site-check-20260714T103002Z.json)"
20260714T103217Z,research,success,none,pass,not-run,"critical-path probe (site-check-20260714T103002Z.json)"
20260714T123013Z,probe,success,none,pass,not-run,"critical-path probe (site-check-20260714T123001Z.json)"
20260715T035911Z,probe,success,none,pass,not-run,"critical-path probe (site-check-20260715T035907Z.json)"
20260715T103004Z,probe,success,none,pass,not-run,"critical-path probe (site-check-20260715T103001Z.json)"
20260715T103148Z,research,success,none,pass,not-run,"critical-path probe (site-check-20260715T103001Z.json)"
20260715T123005Z,probe,success,none,pass,not-run,"critical-path probe (site-check-20260715T123001Z.json)"
20260715T153006Z,probe,success,none,pass,not-run,"critical-path probe (site-check-20260715T153002Z.json)"
